articleTopic	persons	organizations	authority	empirical observation
antibiotics	0.3546099290780142	0.5484633569739953	0.08983451536643026	0.0070921985815602835
beans	0.5352941176470588	0.2647058823529412	0.11176470588235295	0.08823529411764706
cheese	0.8104166666666667	0.16875	0.010416666666666666	0.010416666666666666
chicken	0.3023255813953488	0.6337209302325582	0.04941860465116279	0.014534883720930232
children	0.5628318584070796	0.30619469026548674	0.12920353982300886	0.0017699115044247787
chocolate	0.475177304964539	0.2695035460992908	0.24822695035460993	0.0070921985815602835
cholesterol	0.3170731707317073	0.5349032800672834	0.14129520605550883	0.00672834314550042
coffee	0.14120667522464697	0.7946084724005135	0.061938382541720155	0.002246469833119384
cookies	0.6170212765957447	0.3617021276595745	0.02127659574468085	0.0
dairy	0.5119236883942766	0.3354531001589825	0.11287758346581876	0.0397456279809221
dates	0.45217391304347826	0.48695652173913045	0.06086956521739131	0.0
energy	0.716566866267465	0.17564870259481039	0.09181636726546906	0.015968063872255488
environment	0.5016789791806582	0.3203492276695769	0.17662860980523842	0.001343183344526528
fat	0.17137809187279152	0.10247349823321555	0.18021201413427562	0.5459363957597173
fish	0.4847619047619048	0.4228571428571429	0.09238095238095238	0.0
fruit	0.526829268292683	0.41585365853658535	0.0524390243902439	0.004878048780487805
gluten	0.26163522012578616	0.6352201257861635	0.08679245283018867	0.016352201257861635
insulin	0.7521222410865874	0.12224108658743633	0.11884550084889643	0.006791171477079796
lead	0.42292490118577075	0.525691699604743	0.05138339920948617	0.0
meat	0.13396202041079963	0.21366748482108255	0.649657666968092	0.0027128278000258365
milk	0.6407355021216408	0.2871287128712871	0.06223479490806223	0.009900990099009901
obesity	0.6938202247191011	0.2050561797752809	0.09550561797752809	0.0056179775280898875
oils	0.5632183908045977	0.20689655172413793	0.22988505747126436	0.0
pizza	0.5868544600938967	0.3568075117370892	0.046948356807511735	0.009389671361502348
recipes	0.6528925619834711	0.2892561983471074	0.04132231404958678	0.01652892561983471
restaurants	0.3924914675767918	0.5574516496018203	0.04209328782707622	0.007963594994311717
rice	0.6622950819672131	0.22950819672131148	0.10819672131147541	0.0
salt	0.588957055214724	0.2822085889570552	0.09815950920245399	0.03067484662576687
stress	0.5	0.3473684210526316	0.15263157894736842	0.0
sugar	0.5509433962264151	0.28679245283018867	0.1471698113207547	0.01509433962264151
tea	0.662020905923345	0.3048780487804878	0.029616724738675958	0.003484320557491289
water	0.6058470373270687	0.3090576872879144	0.08170190550770035	0.0033933698773166276
